name,weight
Shastasaurus,70000
Shonisaurus,30000
Mosasaurus,20000
Tylosaurus,15000
Pliosaurus,15000
Hainosaurus,12000
Kronosaurus,11000
Sachicasaurus,10000
Temnodontosaurus,8000
Brachauchenius,8000
Prognathodon,7000
Megacephalosaurus,6000
Thalassotitan,6000
Plotosaurus,5000
Cymbospondylus,4000
Khinjaria,4000
Rhomaleosaurus,3500
Platypterygius,3000
Simolestes,3000
Liopleurodon,3000
Styxosaurus,3000
Kaikaifilu,3000
Pluridens,3000
Brachypterygius,3000
Elasmosaurus,2500
Thalassomedon,2500
Hydrotherosaurus,2500
Archelon,2200
Woolungasaurus,2000
Mauisaurus,2000
Aphrosaurus,2000
Globidens,1500
Megapterygius,1500
Muraenosaurus,1500
Caypullisaurus,1500
Eurhinosaurus,1200
Kyhytysuka,1200
Polycotylus,1000
Protostega,1000
Plioplatecarpus,1000
Attenborosaurus,1000
Gavialimimus,1000
Grendelius,1000
Ophthalmosaurus,1000
Taniwhasaurus,1000
Dakosaurus,900
Cryptoclidus,800
Xiphactinus,800
Pannoniasaurus,800
Yaguarasaurus,600
Stenopterygius,600
Peloneustes,500
Platecarpus,500
Dolichorhynchops,500
Hauffiosaurus,500
Plesiosaurus,450
Nothosaurus,400
Steneosaurus,400
Metriorhynchus,300
Microcleidus,300
Clidastes,200
Tanystropheus,200
Malawania,150
Ichthyosaurus,150
Halisaurus,150
Phosphosaurus,100
Placodus,100
Proganochelys,80
Henodus,50
Gillicus,40
Mixosaurus,20
Enchodus,15
Dallasaurus,15
Xenodens,10
Hupehsuchus,10
Judeasaurus,10
Mesosaurus,10
Aigialosaurus,10
Dolichosaurus,5
Mesoleptos,5
